company_name	industry	city
EduVision 0	Finance	Uppsala
###	Education	Jönköping
EduVision 2	Renewable Energy	Örebro
AutoWorks 3	Food & Beverage	Uppsala
RoboTech 4	Medical Devices	Örebro
HealthSync 5	Healthcare	NULL
AutoWorks 6	Technology	Stockholm
EduVision 7	Renewable Energy	!!Error!!
HealthSync 8	Automotive	Göteborg
EduVision 9	Food & Beverage	Göteborg
HealthSync 10	Medical Devices	Göteborg
GreenFuture 11	Technology	Örebro
GreenFuture 12	12345	Stockholm
EduVision 13	Renewable Energy	Helsingborg
GreenFuture 14	Education	Jönköping
RoboTech 15	Food & Beverage	Örebro
!!Error!!	Construction	Örebro
AutoWorks 17	Food & Beverage	
AutoWorks 18	Finance	Västerås
FinTrust 19	Food & Beverage	
TechNova 20	Education	Norrköping
TechNova 21	Technology	Göteborg
MediCare 22	Technology	Linköping
AutoWorks 23	Food & Beverage	NULL
BuildPro 24	Food & Beverage	Norrköping
HealthSync 25	Unknown	Uppsala
FinTrust 26	Renewable Energy	Malmö
BuildPro 27	Automotive	###
BuildPro 28	AI & Robotics	
MediCare 29	Technology	Unknown
AutoWorks 30	Finance	None
MediCare 31	AI & Robotics	Norrköping
EduVision 32	Finance	Stockholm
HealthSync 33	AI & Robotics	Västerås
HealthSync 34	Food & Beverage	Göteborg
HealthSync 35	Food & Beverage	Norrköping
MediCare 36	Renewable Energy	Göteborg
GreenFuture 37	Food & Beverage	Västerås
FinTrust 38	Finance	Jönköping
RoboTech 39	Education	Uppsala
MediCare 40	Education	Helsingborg
FinTrust 41	Automotive	Jönköping
BuildPro 42	AI & Robotics	Stockholm
TechNova 43	Renewable Energy	Örebro
AutoWorks 44	Education	Linköping
BuildPro 45	Education	Jönköping
Foodies 46	Food & Beverage	Jönköping
MediCare 47	Automotive	Västerås
GreenFuture 48	Healthcare	Norrköping
Unknown	Education	Jönköping
EduVision 50	Technology	FakeCity
Foodies 51	Education	Helsingborg
MediCare 52	Healthcare	Örebro
FinTrust 53	Technology	Linköping
FinTrust 54	Healthcare	Uppsala
FinTrust 55	Technology	Jönköping
NULL	Technology	FakeCity
AutoWorks 57	AI & Robotics	Göteborg
EduVision 58	Construction	Örebro
FinTrust 59	Automotive	Norrköping
Foodies 60	12345	Linköping
HealthSync 61	Construction	Jönköping
HealthSync 62	Food & Beverage	Stockholm
EduVision 63	Construction	Norrköping
HealthSync 64	Healthcare	Göteborg
Unknown	Technology	Unknown
MediCare 66	Renewable Energy	Göteborg
AutoWorks 67	Healthcare	Malmö
EduVision 68	###	Västerås
Unknown	Technology	Stockholm
AutoWorks 70	Medical Devices	Jönköping
EduVision 71	Healthcare	Helsingborg
FinTrust 72		Linköping
MediCare 73	Construction	Stockholm
RoboTech 74	Medical Devices	Norrköping
Foodies 75	Finance	Unknown
RoboTech 76	Technology	Stockholm
AutoWorks 77	Food & Beverage	Helsingborg
None	AI & Robotics	Uppsala
EduVision 79	Technology	Jönköping
RoboTech 80	AI & Robotics	###
GreenFuture 81	12345	Linköping
EduVision 82	Automotive	Unknown
FinTrust 83	Renewable Energy	Malmö
TechNova 84	AI & Robotics	Uppsala
TechNova 85	Finance	Linköping
AutoWorks 86	Medical Devices	Jönköping
GreenFuture 87	Food & Beverage	###
BuildPro 88	Medical Devices	Malmö
HealthSync 89	Food & Beverage	Jönköping
Unknown	Food & Beverage	Jönköping
EduVision 91	AI & Robotics	Västerås
GreenFuture 92	Construction	Örebro
BuildPro 93	Healthcare	Malmö
BuildPro 94	Medical Devices	Göteborg
GreenFuture 95	Construction	Jönköping
GreenFuture 96	Technology	Stockholm
12345	AI & Robotics	Jönköping
N/A	Automotive	Uppsala
GreenFuture 99	Medical Devices	Uppsala
###	Finance	Stockholm
HealthSync 101	AI & Robotics	Malmö
NULL	Education	Jönköping
N/A	Technology	Norrköping
BuildPro 104	Medical Devices	
HealthSync 105	Healthcare	Stockholm
BuildPro 106	Education	Västerås
BuildPro 107	Automotive	Jönköping
BuildPro 108	Automotive	Norrköping
FinTrust 109	Education	
EduVision 110	Education	Stockholm
AutoWorks 111	Education	Helsingborg
TechNova 112	Renewable Energy	Västerås
MediCare 113	AI & Robotics	Helsingborg
Foodies 114	Education	###
AutoWorks 115	AI & Robotics	Norrköping
NULL	Construction	Jönköping
Unknown	Finance	Linköping
MediCare 118	Healthcare	Norrköping
12345	Finance	Uppsala
BuildPro 120	Medical Devices	Stockholm
RoboTech 121	Education	Uppsala
AutoWorks 122	Food & Beverage	Göteborg
EduVision 123	Medical Devices	Västerås
MediCare 124	12345	Stockholm
!!Error!!	Technology	Stockholm
Foodies 126	Unknown	Linköping
N/A	Food & Beverage	FakeCity
MediCare 128	Construction	Helsingborg
FakeCity	Finance	Örebro
EduVision 130	Medical Devices	Göteborg
FinTrust 131	Education	Norrköping
BuildPro 132	Finance	Uppsala
Foodies 133	Education	Linköping
TechNova 134	Medical Devices	Jönköping
Foodies 135	Healthcare	Norrköping
GreenFuture 136	Renewable Energy	Helsingborg
HealthSync 137	AI & Robotics	Västerås
GreenFuture 138	AI & Robotics	Jönköping
	AI & Robotics	Malmö
TechNova 140	Food & Beverage	Uppsala
HealthSync 141	Technology	!!Error!!
BuildPro 142	Healthcare	Örebro
MediCare 143	Healthcare	Jönköping
RoboTech 144	Technology	Västerås
BuildPro 145	Food & Beverage	Uppsala
FinTrust 146	Renewable Energy	Stockholm
Foodies 147	Healthcare	Västerås
AutoWorks 148	Construction	Malmö
BuildPro 149	Healthcare	Linköping
Foodies 150	Construction	Linköping
Foodies 151	Automotive	Göteborg
GreenFuture 152	Education	Örebro
NULL	AI & Robotics	Jönköping
12345	Healthcare	Västerås
BuildPro 155	Food & Beverage	Stockholm
RoboTech 156	Finance	None
Foodies 157	Construction	Örebro
Foodies 158	Medical Devices	Norrköping
TechNova 159	Healthcare	Örebro
MediCare 160	Food & Beverage	Jönköping
TechNova 161	AI & Robotics	None
BuildPro 162	Healthcare	Jönköping
MediCare 163	Renewable Energy	Uppsala
GreenFuture 164	Renewable Energy	Örebro
HealthSync 165	12345	Helsingborg
HealthSync 166	Construction	Jönköping
FinTrust 167	Healthcare	Linköping
AutoWorks 168	Technology	Norrköping
FinTrust 169	Automotive	Uppsala
FinTrust 170	Healthcare	Västerås
RoboTech 171	NULL	Linköping
AutoWorks 172	Food & Beverage	Malmö
MediCare 173	Food & Beverage	None
GreenFuture 174	AI & Robotics	Norrköping
AutoWorks 175	Food & Beverage	Västerås
TechNova 176	Finance	Malmö
BuildPro 177	AI & Robotics	Västerås
HealthSync 178	Technology	Jönköping
EduVision 179	Food & Beverage	Stockholm
MediCare 180	Medical Devices	Jönköping
BuildPro 181	Construction	Linköping
HealthSync 182	Construction	Stockholm
MediCare 183	Renewable Energy	Västerås
TechNova 184	Medical Devices	Göteborg
Foodies 185	Automotive	None
HealthSync 186	Technology	Norrköping
MediCare 187	Construction	Göteborg
Foodies 188	Construction	Västerås
N/A	Finance	Örebro
RoboTech 190	Finance	Örebro
EduVision 191	Food & Beverage	Jönköping
MediCare 192	Education	Helsingborg
MediCare 193	Automotive	Malmö
GreenFuture 194	Medical Devices	Norrköping
AutoWorks 195	Construction	Göteborg
