City,Company,Revenue,Employees
,,5514201.86,437.7
,SKF,47.2997596,8.642
mailliW tseW,,,81.3
Port Danielle,BBA,7135734.5,67.1
Vincestland,,2401385.14,
Saratown,TechSphere,5254790.85,7.271
,,8924862.64,498.3
,ABk,,292.3
Uppsqla,NordicX,,
ydniC ekaL,,10.3423033,2.434
Lildhamn,XcidroN,,4.181
South Anthonyborough,SkyLink,,
Uppsala,SkyLink,7218547.34,230.3
Sjnghhaven,Scania,,230.1
Jacobtown,SuF,8834868.74,88.0
Wilionhaven,kniLykS,,
Leseiebury,,,409.1
East Billy,H&M,70.0633017,176.6
Paibeport,,37.1539018,231.7
Michaecfort,SKF,64.7096128,
,,9788810.32,2.973
Jonathanbury,,,273.2
Stockholm,SKF,51.5300887,366.5
Katdlynport,aileT,6597372.11,1.833
Port Danieltown,hKF,9458146.66,386.2
kcirtaP ekaL,Telia,4589783.66,117.2
Lake Todd,NordicX,,27.9
Jönköpikg,ABB,2694201.92,77.7
Jönköping,,86.8647818,436.9
North Alyssamouth,AEKI,1325479.64,3.11
East Jamesberg,ABB,5525367.9,391.1
,,63.3412505,289.5
noraA ekaL,pKEA,9301172.51,
Maureentown,SkmLink,5559676.94,7.961
,,,313.0
,ainacS,5019872.57,208.9
Lake Lynnburgh,Scania,,177.5
Amyburoh,ABB,60.8496796,4.961
Wplsonville,,2018504.97,140.5
gnipöknöJ,dcania,8673830.24,5.271
,,2629519.67,145.8
Jönköping,H&o,,391.5
,H&M,9028323.93,
weivaxelA weN,SkcLink,5599862.34,467.0
Jasminptown,TechSphere,,411.7
West Jamiefort,,73.7424128,491.6
Port Reneelknd,BBA,4783559.83,
Hollowaybury,,4602709.86,367.2
hgrubdyolL,XcidroN,8034929.86,212.6
North Tiffanyborough,SkyLynk,2588208.25,397.5
pmithchester,SkyLinz,34.0315714,462.5
Lake Katieburgh,SlF,51.4207798,212.8
NorthoAshley,,9447785.09,
Poxt Julie,IjEA,9136269.76,275.3
East Phillipchester,,6900943.3,
Ericavilll,ABB,2282509.48,499.7
gnipöknröjB,erehpShceT,5464332.23,360.9
,aileT,18.1539594,5.33
South Taylorland,TechSphere,41.1471999,1.88
Larrychester,TecbSphere,49.7803473,485.0
,SKF,70.0746365,428.2
datsacisseJ tsaE,H&M,4418177.96,153.1
North Michelle,InEA,5894025.01,191.9
Temothyborough,TechSphere,93.7243688,9.302
retsehcassileM ekaL,SKF,3719924.02,7.244
naeS troP,rKF,1737712.23,47.9
,,7322908.71,495.8
yrubaraS,ABB,2036483.72,260.7
East Christopherbwrough,NordicX,33.7299415,211.2
trofsenoJ,ABl,5255726.98,144.0
htuomllaH,,,114.3
mlohkcotS,,81.6918666,442.5
Cruzfurt,TechSphere,,296.1
Fowlerporm,FKS,4.8206153,6.864
Linköping,SKs,72.2870311,426.7
West Janet,ainacS,,5.284
Brownberg,SkyLink,6091698.7,
,,1633269.55,30.7
ktockholm,FKS,7211078.33,452.6
,,37.2950553,6.09
Wilsonhaven,AEKI,4118062.18,154.6
Port Rebecca,aileT,2321459.87,9.554
trofaihtnyC weN,Scania,,250.3
Port Stacyburgh,,91.0604344,289.5
Ntw Jayhaven,NordicX,,
Port Lindsey,,96.7209906,376.6
,ABB,2641821.61,6.453
,,,6.372
Göteborg,BBA,,
,BBA,55.9956963,75.2
Myersforf,Scanma,1905923.92,
,,6237349.71,9.761
Uppsala,IKEA,2504521.27,45.8
Patriciachester,H&M,7176656.09,1.46
East Mktthewmouth,IKEA,13.8825662,395.8
