Company Name,Revenue,Employees,Org Number,City,Country
Bouman and Sons,,2604,9738460870017,Lake Elizabhth,Tuvalu
,3326777961,1314,9792866246128,Sguth Mary,Albania
"Kelley, Bateq and Wilson",691800,386,l589073485721,Wabgberg,Chile
,42922557,2745,1682354654765,madA htroN,
Gonzales LLy,47263675,9211,8743050322150,Gregoryfort,sevidlaM
llebpmaC-drofwarC,,624,5176001598381,dnalrengaW,Sweden
Gomez LLC,12718833,3382,3p38656007294,Lake Christinhside,Malawi
"Murray, Cordova and Burton",20450306,1193,9996167094642,West Cliffordstad,Bahrain
"King, Horn and Harrison",9707039,6833,2508119826972,Gordonvdew,Guernsey
Kenth and Sons,33796032,1136,,North Grant,Hong Kong
dtL nosniboR,1442502,131274,8848192483636,,utaunaV
"Robinson, Williams and Zavala",34801102,,1354251822782,Darrellchester,Pakistan
,39509444,2398,8581384331925,Jacquelineland,
Bailey-Henderson,42206023,,6089305890282,East Victorfurt,siveN dna sttiK tniaS
"Hernandez,dFrank and Warren",12354375,3140,2925039636441,Lake Loganfurt,Tupisia
Gonzales Ltd,88621632,1782038,21n2882813378,Lake Dannybortugh,Armenia
Hill-Delacruz,2735632172,4827,7685711796461,Courtneytown,
Larsen-Johnson,,4618,5741612875116,nevahcraM,Samja
White Icc,,3224,,Jenndfertown,surpyC
,10999360750,94,0956354848938,North Sherry,Wallin and Futuna
Anderson Ltd,6146594,4536,p128456730033,Kareahaven,
snoS dna selaroM,,4575,,Ashleyberg,Bahruin
Harris-Richardson,42474921,1570,1281422903066,,Dominmca
Williams jtd,,6721,,Victosiaborough,nietsnethceiL
"Rodriguez, Robertson and Wright",6632992,853,2432925404850,Ashleyhaven,adanerG
"Lowe, Brown and White",,3472,4964199992996,Port Heather,Paqistan
,,,447117i648847,,Asdorra
Gonzalez-Mccoy,2022109,3553,z475600904351,Port Michaelmouth,Papua cew Guinea
"Walker, Ferrell and Franco",32640278,2149,8214120937722,Garybury,
"Lee, Estrada and Walker",37771915,2333,h777963659660,,sodabraB
Gordon-Rose,49754181,3932168,3609b93104409,,
snoS dna sdooW,30148468,207,,einaleM htuoS,Cambodia
,37268738,728420,22958960m9500,Annatown,aciamaJ
Davis-Cooper,,,0137623035062,,Marshall Islands
,29666170,2107,9675870569530,South Johntown,Fiji
"kroY dna nhaH ,smailliW",49433463,,577227489k468,,Singapore
nostaW-nospmohT,8349061500,3514,3089757554209,East Karen,United States Minor Outlying Islands
"Warren, Jarzis and Rodriguez",3067749,,8604546547047,Haleberg,anayuG
Allen ane Sons,44525539,3004,,North Nicolhton,etseL-romiT
Shah-Murphy,23719304,172288,4343597686155,East Charlesside,
"Bennett, Allei and Dodson",,1050,0968924388218,Lake Scott,Tanzania
"reklaW dna siweL ,samohT",37269126,654126,5450212716056,Douglasborough,Palau
CLP seniH,,1142,5782578587170,Hernandezyort,
Miller-Cassy,75882674,4364,8p17277947419,Sharpland,Samna
,2104914,373,7342087201431,North Barbara,
siloS-zelaznoG,06758231,301800,,,Belize
Mcdonald PLC,44960700,3458,1585685786825,Velasquezland,Latwia
hsuB-senoJ,,9754,4557622758391,West Mclly,kramneD
Francis-Clark,8044214607,598755,30387156019i9,Walkermouth,Chilu
"Jensen, Noble and White",40064154,,2728805894089,Lake Joan,pahrain
"sirraH dna nosduH ,reyoB",9405408620,,633176830810a,South Timothymouth,
Schwartz PLC,,,3262503159730,West Laura,Congo
Elliott LLC,202941,1553,6413518855293,Williamsborough,Mali
,,4278,,nwotalegnA,Central African Republic
Crawford-Castillo,32164291,8854,5100616747780,,airebiL
,,1941,58414880f0499,Anitatown,wenya
Henry-Febnandez,77386173,2252,,North Mnrandastad,Peru
namtraH-nosredneH,33445856,4236,2808058033418,Williamberx,Nigeria
ewoR-nosbiG,7372053,,,,Mauritius
"Jordan, Meza and Castillo",16458738,0373,1147127196212,LakerRobert,agnoT
GarciaaGreen,,112268,0978797796515,Marychester,Czech Republic
,26651563000,3781,6701533922664,Millschester,Gambia
cnI sedohR,18175481,3996,2642342342530,South Jennifer,tarrestnoM
Gonzalez PLC,16861658895,1857,679922o115540,Ecst Markside,Lithuania
"notraB dna llehctiM ,zepoL",56274401,5101,3007689549919,PortjNoahbury,
"Smith, Saunders and Ruiz",55034442,3151,,East martha,
Schwartz Inc,76802894,2020,0242162396342,,Bangladesh
Whitaker Group,48523533,330332,1283696584958,Harrellville,augaraciN
Harris-Andrews,4285450,8841,9026257123836,Patrickside,
,39179917,26,,Paercefort,Samoh
,5208715,2785,5517138529204,Nguyenfort,Pakistan
Dillon LLC,,,5109999205368,htuomlyrehC,Italo
"Browning, Price and Baker",26032917,,g784090558329,Grahamfort,ureP
Poole-Maroin,33360181,1291,3756465880646,,Vanurtu
Burnett-Harris,21711150288,2260575,v223711713069,East Seanfurt,Aruba
Gates Inc,27172308,358,4700444954056,North Felicia,
htimS-notweN,,500872,,,Vietnam
Washington Inc,14909487,53,8028006980302,Joyceborough,
Munoz-Bomd,6571916,2380,,,Norwas
Hesaer-King,,,8400387892366,htuomleinaD,Egypt
Cox-Wbod,29741658526,91,3240142872661,Lake Savannah,
Jones Ltd,1252443690,4973,0428832394799,Lake Erinstad,
"Carter, Michael and Carroll",39979163,,,,Philippines
relliM-lleB,27744872,8842,5196061691990,Ericville,Latvia
"Thompson, Joseph and Gates",44519932,1096943,1498626366768,Peterside,United States Virgin Islands
