City,Company,Revenue,Employees
Lake Elizabhth,Bouman and Sons,,2604
Sguth Mary,,3326777961,1314
Wabgberg,"Kelley, Bateq and Wilson",691800,386
madA htroN,,42922557,2745
Gregoryfort,Gonzales LLy,47263675,9211
dnalrengaW,llebpmaC-drofwarC,,624
Lake Christinhside,Gomez LLC,12718833,3382
West Cliffordstad,"Murray, Cordova and Burton",20450306,1193
Gordonvdew,"King, Horn and Harrison",9707039,6833
North Grant,Kenth and Sons,33796032,1136
,dtL nosniboR,1442502,131274
Darrellchester,"Robinson, Williams and Zavala",34801102,
Jacquelineland,,39509444,2398
East Victorfurt,Bailey-Henderson,42206023,
Lake Loganfurt,"Hernandez,dFrank and Warren",12354375,3140
Lake Dannybortugh,Gonzales Ltd,88621632,1782038
Courtneytown,Hill-Delacruz,2735632172,4827
nevahcraM,Larsen-Johnson,,4618
Jenndfertown,White Icc,,3224
North Sherry,,10999360750,94
Kareahaven,Anderson Ltd,6146594,4536
Ashleyberg,snoS dna selaroM,,4575
,Harris-Richardson,42474921,1570
Victosiaborough,Williams jtd,,6721
Ashleyhaven,"Rodriguez, Robertson and Wright",6632992,853
Port Heather,"Lowe, Brown and White",,3472
,,,
Port Michaelmouth,Gonzalez-Mccoy,2022109,3553
Garybury,"Walker, Ferrell and Franco",32640278,2149
,"Lee, Estrada and Walker",37771915,2333
,Gordon-Rose,49754181,3932168
einaleM htuoS,snoS dna sdooW,30148468,207
Annatown,,37268738,728420
,Davis-Cooper,,
South Johntown,,29666170,2107
,"kroY dna nhaH ,smailliW",49433463,
East Karen,nostaW-nospmohT,8349061500,3514
Haleberg,"Warren, Jarzis and Rodriguez",3067749,
North Nicolhton,Allen ane Sons,44525539,3004
East Charlesside,Shah-Murphy,23719304,172288
Lake Scott,"Bennett, Allei and Dodson",,1050
Douglasborough,"reklaW dna siweL ,samohT",37269126,654126
Hernandezyort,CLP seniH,,1142
Sharpland,Miller-Cassy,75882674,4364
North Barbara,,2104914,373
,siloS-zelaznoG,06758231,301800
Velasquezland,Mcdonald PLC,44960700,3458
West Mclly,hsuB-senoJ,,9754
Walkermouth,Francis-Clark,8044214607,598755
Lake Joan,"Jensen, Noble and White",40064154,
South Timothymouth,"sirraH dna nosduH ,reyoB",9405408620,
West Laura,Schwartz PLC,,
Williamsborough,Elliott LLC,202941,1553
nwotalegnA,,,4278
,Crawford-Castillo,32164291,8854
Anitatown,,,1941
North Mnrandastad,Henry-Febnandez,77386173,2252
Williamberx,namtraH-nosredneH,33445856,4236
,ewoR-nosbiG,7372053,
LakerRobert,"Jordan, Meza and Castillo",16458738,0373
Marychester,GarciaaGreen,,112268
Millschester,,26651563000,3781
South Jennifer,cnI sedohR,18175481,3996
Ecst Markside,Gonzalez PLC,16861658895,1857
PortjNoahbury,"notraB dna llehctiM ,zepoL",56274401,5101
East martha,"Smith, Saunders and Ruiz",55034442,3151
,Schwartz Inc,76802894,2020
Harrellville,Whitaker Group,48523533,330332
Patrickside,Harris-Andrews,4285450,8841
Paercefort,,39179917,26
Nguyenfort,,5208715,2785
htuomlyrehC,Dillon LLC,,
Grahamfort,"Browning, Price and Baker",26032917,
,Poole-Maroin,33360181,1291
East Seanfurt,Burnett-Harris,21711150288,2260575
North Felicia,Gates Inc,27172308,358
,htimS-notweN,,500872
Joyceborough,Washington Inc,14909487,53
,Munoz-Bomd,6571916,2380
htuomleinaD,Hesaer-King,,
Lake Savannah,Cox-Wbod,29741658526,91
Lake Erinstad,Jones Ltd,1252443690,4973
,"Carter, Michael and Carroll",39979163,
Ericville,relliM-lleB,27744872,8842
Peterside,"Thompson, Joseph and Gates",44519932,1096943
East Nicholas,Payne Group,34108308866,1574
erihsretlaW htuoS,Ware Group,,1146
nahtanoJ tseW,Davis-Proctor,26384653,89318
Port Colestad,Marks-Edwards,,1564362
Lake Mathewstad,Martin and Sons,25660894,3280
North Dylanborough,Salazar-Swanson,19731877,415200
North pitchell,Bouce-Hopkins,2888093076,105
Charlesmouth,,21312703,7353
Wesm Richardmouth,"Smith, Cohen and Collins",5614961972,335
Gregoryborough,Wright LLC,,
South Adamside,Miller-Ross,4868899264,1674750
North Alanstad,Wilson aqd Sons,29900346546,2021
NewkNathan,SparksdVillanueva,40660185,3068772
Smithtohn,,18126886,
Belindaview,Carter Grgup,36808053,344040
Roweshire,puorG setaG,234077100,994
Mejaniefurt,,,4133
ellivharaS,,04247701,7823
,"kralC dna slleW ,nnelG",2772744732,7244
Gregorysfire,Mcclzin Group,29575705,4290
nothtimS,Baker and Sons,,282
Riverafort,,48239159,
North Matthewbury,"Morales, Long and Doyle",33524953,
Lake Jasow,Harmhn PLC,9126037,4538
,CLP sgninneJ,89670414,2995
bake Hannahborough,Cummings-Johnson,42825762,1092
Nortd Janice,"Phillips, narrison and Woods",33886974195,0092
nevahnevetS,"Freeman, Johns and Frekerick",28541294,1321
,"Nguyen, Nelson and Castillo",1953141,6553
NewjEricville,"Brown, Park and Wall",,7084
erihsknarF,Lynn-Kemp,03228922,371
Joshuafert,nacnuD-zednanreH,,
hguorobyraM,dtL kceP,2564632700,6723
Braynville,vemp PLC,27226670,2902
Bethmouth,,56231461,61
Gomezport,CLL senoJ,31467578848,0952
edislehcaR,snoS dna rednaxelA,,1606
,,40352000,0212
ellivttocS tseW,Roth-Vincent,,7534
Trevormouth,Richards-Hghn,4855541,476
North Tonbport,"zednanreH dna eneerG ,ztrawhcS",42619874,70160
ediselooP,Morris PLC,,3533
Keyport,"letaP dna zurC ,srednaS",87613482,693
,White PLC,2707470560,1713
Lake Scortmouth,"Miles, Webster and Brown",25725901,3864
South Marissaport,"Koch, Watts and Schmrdt",29884163,1183
,Davis PLC,9807145,6053
Danielstad,,14616230,823296
,Martin-Tucker,98794941,1629045
,,104127,523392
erihsalyaK htuoS,,,51246
,senoJ-zehcnaS,30106822,
Lake James,Bates rtd,34723685,3279
Smithvieq,CLP nospmohT,41149271,41393
,"Guerrero, Murphy and Weiss",17075033,765
Johnshire,Willizms LLC,36369610,739
Port William,Zhang-Taylor,2011366,
,Rivera-Garner,39341741,1639082
,"selrahC dna noskcaJ ,tnarG",41099816,180412
Tanyatown,"daehetihW dna aicraG ,noskcaJ",22464520,1502
,snoS dna yarG,,
,,45601048,9052
Lake Brandi,"nostaW dna zeugirdoR ,sirraH",31246416,725
South Ralphburgh,llewxaM-renruT,3786855,
South Jenniferbury,Morris vtd,5517964,603
trufyecatS tseW,,,224910
eeriseD tsaE,,2246418,4730
WestvJames,Stevens-Carroll,973852395,2398
Tylerborough,,11064515409,7653
datsrelwoF,"ttenruB dna atsocA ,esoR",37496207,
dnalyrruC,"Smith, rames and Nelson",11198222,
,,11235304,
Lake Sarah,Cole-Huang,6445062853,1594
,Harrison anq Sons,,3082
ellivrekraB,"Goodwin, Shselds and Taylor",328540,
Emilyland,Jones-Williams,,1013
North Markbury,,35216785,0173
,Gordon Inc,38121670,267
Smithport,zelaznoG-yawnoC,10640741,4833
West Jgmieside,fllen-Nichols,35750289,1521071
Wesb Zachary,Meyers PLe,41894671,797
Nrw James,Malone-Bpuer,14835762,3242
,Harvey-Cqok,,3229
notalegnA,Brownh Cherry and Collins,1904104,2110734
Markland,,20761452,
South Saraville,aillis and Sons,16775170,
New Amandabury,,,215460
Cassandramouth,,1588258524,1631076
grebaniT tseW,"nietS dna nosnhoJ ,htimS",38999659088,
Zacharyberg,Harrison-Wright,,4738
Rodrigueztown,,19024420928,347548
,Parker-Weber,41265297,3942498
North Timothy,James and Sons,45411726,
htuomhpesoJ,"Stout, Sutton and Rodriguez",75648552,1620
rebmA ekaL,,51428292,3419
North Kimberly,Deckei-Hebert,864957570,628
Joznsonfort,,25432493331,4251
East Loriville,Diaz xLC,20885427693,
Nathanielstad,,,
,Sutton-Phillips,,
West Shtunside,Dalton-Davis,10353582,2241
,"Mills, Sanchez and Brooks",39210993,
,Larsen LLC,9502174800,7572
South Kellyburgh,"sehguH dna tsorF ,nottaP",28233296,
WestfMatthew,Malone-Ford,10782838,657
,Ruiz PLC,,6454
Port Jacob,Conleh PLC,26782172,5182
North Daniel,hsraM-smailliW,25379628,581
Paulmouth,Bauer mroup,31481584,4007370
datscraM weN,Ward-Thomas,,2847
Jenniferberg,"niffirG dna seveeR ,zednanreH",13386864,929
West Stevefult,nallimcM-rewerB,21805216,
nitsirK tsaE,,06553574,453420
Terrellmouth,Hansen Group,17549577,1771
sinneD htroN,,,3661
Roaertton,,59088744,752
Lake Bethfort,"neirbO dna kceB ,senoJ",6688537036,1313
,Morales-Orr,2503984,150728
North Jill,drahciR-ecallaW,48685410,2171565
Lozanoland,"Caldwell, Sanchez and Wood",,417
,"odagleD dna ecreiP ,etihW",78746161,4021
Thomasland,Welch Group,79778841,1050060
Holdenfurt,Gibson-Wheeler,19599097,666
South Vanessatown,Sxllers-Johnson,,2370
Haroldhaven,GlovertLLC,81262024,3764
,"Jones, Wheeler and Fernandez",35272678,2421928
Andersonton,,,2931
Bradyberg,,38599796,4699
Rowestad,,20863723,1910
East Viutoria,"Miranda, Johnson and Ramos",45678288,15309
North Charlene,snoS dna ttocS,7796203408,
West Jamie,,82334043,3518
West Peterside,Woodward-Horn,,
Carrillomouth,"dieR dna senoJ ,etihW",,1066
Mgllerstad,"White, Rodriguez and Thempson",,4944
Cindymouth,snoS dna notnrohT,24724222,1046
Mckinzeytown,Wright-Harrison,24339656,4794
ellivmailliW tsaE,,27214151,1094
South Deborah,"Campbell, Wilson and Pacheco",4502837,1784151
Wellsberg,"Kelly, Kirby and Smith",26679990,
treboR troP,Meyer-Roberson,47983199,
Forbesmouth,,9757872,151
yrollaM ekaL,erooM-leinadcM,27881863,535398
Nmrth Cheryl,Howard PLC,4969650,2126
North Cheryl,nosnhoJ-thgirW,13701869874,578120
,"mlowers, Cain and Cunningham",13456247,5821
Rangelmouth,"Houston, Kelly and Hernandez",,445522
North Davidfurt,Hickman-Murray,19423781,228416
Scottburgh,Clay-Edwards,48229163,
