Företagsnamn,Organisationsnummer,Omsättning,Antal Anställda,Bransch,Stad,E-post
Företag 1 AB,306106-2212,17158787.89,117,Bygg,Göteborg,kontakt@företag1ab.se
Företag 2 AB,402280-7264,24322722.1,36,Handel,Linköping,kontakt@företag2ab.se
Företag 3 AB,112549-2127,4435682.02,115,Handel,Stockholm,kontakt@företag3ab.se
Företag 4 AB,355925-3558,5127518.14,147,Transport,Västerås,kontakt@företag4ab.se
Företag 5 AB,449275-5949,8062248.9,469,Bygg,Västerås,kontakt@företag5ab.se
Företag 6 AB,456401-2971,23717797.34,161,Hälsa,Göteborg,kontakt@företag6ab.se
Företag 7 AB,594610-8578,32889939.17,108,Finans,Linköping,kontakt@företag7ab.se
Företag 8 AB,663708-7003,38055878.99,347,Utbildning,Västerås,kontakt@företag8ab.se
Företag 9 AB,872929-5519,9465997.47,20,Handel,Linköping,kontakt@företag9ab.se
Företag 10 AB,176453-8803,15168414.32,475,Finans,Uppsala,kontakt@företag10ab.se
Företag 11 AB,219117-8308,47736998.15,189,Handel,Uppsala,kontakt@företag11ab.se
Företag 12 AB,771209-1463,15085356.28,72,IT,Göteborg,kontakt@företag12ab.se
Företag 13 AB,776033-7998,49996233.93,338,Bygg,Örebro,kontakt@företag13ab.se
Företag 14 AB,670682-1701,42037062.85,157,Bygg,Göteborg,kontakt@företag14ab.se
Företag 15 AB,869906-7924,21482371.73,55,Utbildning,Linköping,kontakt@företag15ab.se
Företag 16 AB,109904-5796,20983378.13,83,IT,Göteborg,kontakt@företag16ab.se
Företag 17 AB,463818-5786,29413501.14,276,Transport,Stockholm,kontakt@företag17ab.se
Företag 18 AB,765690-4197,36467852.39,315,Bygg,Göteborg,kontakt@företag18ab.se
Företag 19 AB,594561-1711,14785317.34,128,Transport,Stockholm,kontakt@företag19ab.se
Företag 20 AB,563116-4742,9760335.41,141,Finans,Stockholm,kontakt@företag20ab.se
Företag 21 AB,487053-4987,26531829.94,376,Finans,Uppsala,kontakt@företag21ab.se
Företag 22 AB,352563-6722,36771740.35,161,Transport,Örebro,kontakt@företag22ab.se
Företag 23 AB,783773-7182,21884015.17,122,IT,Stockholm,kontakt@företag23ab.se
Företag 24 AB,728782-1766,20700542.11,342,Hälsa,Malmö,kontakt@företag24ab.se
